,Date,Review_text,Review_title,Stars,Positive,Negative,Neutral,Compound,Overall
0,2020-05-18,Not same as shown in the picture of product description. Not sure whether the product is duplicate or Not?,Duplicate????????,1,0.0,0.098,0.902,-0.2411,Negative
1,2020-05-15,"It's a fantastic and genuine product with great quality. Always go for the genuine and old and trusted brands like Dettol Lifebuoy Dabur Boroplus etc and avoid newly mushroomed fake and unreliable brands like Floh, Mirah Belle etc. I've mentioned these two brands in particular because I've been cheated by them. Their sanitizers are of extremely low quality and hazardous.",Great product,5,0.20600000000000002,0.14300000000000002,0.6509999999999999,0.701,Positive
2,2020-05-23,"Everything was good but just wanted to check if bottle packing is legitimate as both bottel cap is different hence just need confirmation if this is original product otherwise everything is good, delivery on time","Excellent product, just need little clarification",5,0.215,0.0,0.785,0.8294,Positive
3,2020-05-22,"I saw so many reviews and people are sayibg that is duplicate but let me clear your doubts its not at all duplicate its an original product by lifebuoyFirst of all there is a slight change in packaging as the cap is a air tight cap different from pre corona packaging, it is different just to prevent the alcohol content from any leakage or dryingSecondly its absolutely safe i have ordered the product and still using it regularly, see the thing is they have increased the composition of alcohol in the sanitizer for better protection from corona as it says it has 95% Ethyl so dont woery its absolutely safe abd change in smell is due to increased composition of ethyl in itAnd it even has batch no. Licence date of packaging and hall mark of hindustan unilever so don't panic its absolutely safe and brand life lifebuoy will never cheat, i repeat its absolutely safe and like any other sanitizer it has a cooling effect after applying to your hands thats a sign of alcohol content in it which makes it a pure and safe sanitizer  grinning_face ",This is not a duplicate sanitizer,5,0.22399999999999998,0.026000000000000002,0.75,0.9924,Positive
4,2020-05-14,"Don't buy., It's completely duplicate product","Don't buy, duplicate product",1,0.0,0.0,1.0,0.0,Neutral
5,2020-05-17,Why there is a difference in the product image and the real received. I have received the product with a different type of cap in blue color. Is it authentic?????,Product is different from the image,1,0.0,0.0,1.0,0.0,Neutral
6,2020-05-30,"It is definitely a must have product during current Covid-19 situation. It has proper composition balance as recommend by WHO (95% ethyl alchohol with 70% of isopropyl alcohol). Comes directly from the house of Hindustan Unilever.Delivery was prompt on time &amp; all safety measures were taken by delivery agent. Must appreciate the work Amazon &amp; other unicorn are doing to help public by delivering goods &amp; Services at doorstep during these tough times.One can use a spray bottle to sanitize other equipment used while stepping out of home without wasting it. Like helmet, glasses &amp; wallet etc.",Lifebuoy Hand Sanitizer with WHO Recommend Composition - Must have product during Covid-19,5,0.162,0.034,0.804,0.9144,Positive
7,2020-05-17,"The smell of the product received is totally different from the ""LIFEBUOY Sanitizer"" I used at present, which have a very pleasent smell.....Moreover the cap shown in the picture is different from what I received.... Amazon should strictly instruct the Selling Partner to deliver exactly the same product as shown in the picture otherwise this amounts to cheating/harrasment of Customer and Amazon will loose Customer Faith.",Not the same product as shown in pic,2,0.092,0.034,0.8740000000000001,0.4404,Positive
8,2020-05-18,Please note the sanitizer bottle inside the box was not sealed and bottle was received 1/4 th empty.,Received Sanitizer Bottle 1/4th empty.,1,0.114,0.09,0.7959999999999999,0.128,Positive
9,2020-05-18,The cap shown in the picture is not same of the item which I get.. Don't know whether it is original or not...,Buy it in local market...,1,0.099,0.0,0.9009999999999999,0.3182,Positive
10,2020-05-19,It's a duplicate product ... Bcoz I m using this brand sanitizer from few months but this product has totally different smell and even when u use it it's make a little bit burning feeling in your hand .... I will not suggest to buy this product at all ...,It's a duplicate product,1,0.11900000000000001,0.0,0.8809999999999999,0.6863,Positive
11,2020-05-15,The smell is not same as my old lifebuoy hand sanitiser and the gel is more greasy that what I used earlier and I’m hoping it’s original and contains 70% alcohol. As it can’t be returned.,I’m hoping it’s original,3,0.20600000000000002,0.0,0.794,0.8074,Positive
12,2020-05-21,One of best sanitizer available in the market currently..this product kills 99.9 germs and having good fragnance as well . This product is very important to prevent all the bacterial diseases. It's very easy to use as well one needs to take a drop and apply on your palm and rub over back of your hands and fingertips until dry. And now you are good to go... Happy with this product  smiling_face_with_smiling_eyes ,An essential product to prevent bacterial diseases,5,0.275,0.063,0.662,0.9513,Positive
13,2020-06-01,"As we know current scenario, good sanitizer is more important. Lifebuoy is one of trustworthy &amp; top leading brand. Recently I ordered for lifebouy Hand Sanitizer which we are using since I received it. I choose this coz it is 70% Alcohol. It is gel based and not to watery, very easy to use which kill germs instantly, without water &amp; last upto 10 hours. Comes in good packaging easy and convenient way to even carry.can be used anytime &amp; anywhere. Loved its fragrance it gives instant freshness. Best value for money..",Best gel based sanitizer for instant use.,5,0.29,0.040999999999999995,0.669,0.9792,Positive
14,2020-06-28,Ordered two and both are duplicate. I have used lifebuoy sanitizer before and i know how it smells but these smell exactly like vodka. Its like they actually mixed vodka in it. It smells v.v.bad and i feel nauseated just opening the bottle cap. The original lifebuoy sanitizers have red caps but these bottle caps are blue in colour. Oh and the bottles also look old as they are scratched all over like its been used before. And there is obviously no return policy!!!! CHEATED!!! Amazon please look into this!!!!,RECEIVED DUPLICATE PRODUCTS,1,0.17800000000000002,0.079,0.7440000000000001,0.8597,Positive
15,2020-05-28,"The product is fake I have a smaller bottle of the same bought from the Apollo medical store, but there is no comparison of the two, the sanitizer bought from Amazon is just a gel with no smell no chemical... Waste of money don't buy",Duplicate sanitizer,1,0.039,0.271,0.69,-0.9022,Negative
16,2020-05-21,"In current situation of pandemic, sanitizer has become one of the most important things. I have tried many during this time but found Lifebuoy hand sanitizer to be one of the best. It has 70% alcohol that kills 99.99% germs and provides you with clean and germ- free hands. It is very convenient to use and can be used anytime anywhere without water. It is gel based and gentle on hands. Also, it doesn’t smell like those typical cleansers rather it has a soothing fragrance.",Highly recommended prodcut,4,0.27399999999999997,0.044000000000000004,0.682,0.9775,Positive
17,2020-05-29,Lifebuoy Sanitizer with Quick &amp; Persistent Action on Germs Keeps You Protected.This saniizer has really good quantity and worth buying for just 250. It does not irritates the skin after using.This sanitizer is really good and effective in this situation as it contains 70% alcohol which is pretty good.We can use this lifebuoy sanitizer in this crucial time.The fragrance is also not hard and very good. Mild get texture it has and can be used multiple times a day.,Very nice sanitizer,5,0.23600000000000002,0.0,0.764,0.9617,Positive
18,2020-05-24,"This is duplicate product, i have used lifebouy sanitizer in past and that has really pleasant smell but this one which i received has foul/plastic kind of smell. Really disgusting.. also the cap is different.",Duplicate product received,1,0.067,0.0,0.9329999999999999,0.3174,Positive
19,2020-05-21,"Lifebuoy hand sanitizer is perfumed jel sanitizer.now a days this is very necessary to protect ourselves from Corona virus.Lifebuoy hand sanitizer is with 70% alcohol it boost our immunity for a longer time.it is very easy to use first apply on your palm,spread and rub front and back of your hand,apply it on fingertips also until dry.I use because it is trusted brand,it is affordable for us .it protect us for a longer time.thanks Lifebuoy  slightly_smiling_face ",best protector sanitizer,5,0.242,0.0,0.758,0.9644,Positive
20,2020-06-01,Very Good product 'TOP OF THE LINE'.Was out for delivery the day 'Amphan Super Cyclone' hit Kolkata the package became wet and torn but was actually delivered way long like a week after the cyclone passed.'Amazon' shouldn't have risked to deliver on the day cyclone was supposed to hit Kolkata. Please Amazon don't risk your employees and the packages during such Natural Calamity and keep the package at secure facilities trust me everyone will appreciate it.,Damaged Package,5,0.344,0.016,0.6409999999999999,0.983,Positive
21,2020-05-18,Got Duplicate Product.. And There Is No Return Policy.. Don't Buy.. Go For Himalaya Hand Sanitizer,Duplicate Product,1,0.165,0.113,0.722,0.25,Positive
22,2020-05-20,Duplicate sanitizer.There is no typical lifebuoy odour.,Fake product,1,0.0,0.268,0.732,-0.29600000000000004,Negative
23,2020-06-10,"With COVID-19 situation getting worse, I was really worried of my family's safety. So I bought Lifebuoy hand sanitizer. It's really a good product as it is alcohol based and kills 99.9% germs keeping us safe from any diseases. The smell also is so good, not like other sanitizers which leave the alcohol smell after use. It has the pleasant berry fragrance and the kids will love this smell. The packaging is also good. A total worthy product.",Best sanitizer with pleasant fragrance,5,0.28600000000000003,0.124,0.589,0.955,Positive
24,2020-05-19,"Love this refill bottle. I have so many little empty sanitizer bottles which need filling like the one that goes in my bag, the one in the car and the one that my daughter takes to school. This just perfect for all those refills. Also love the effectiveness by a trusted brand",Fabulous refill,5,0.27899999999999997,0.027999999999999997,0.693,0.9511,Positive
25,2020-06-20,"I wanted a Hand sanitizer to keep in my car and I found Lifebuoy Hand Sanitizer the most convenient as this 500ml bottle comes with a pump... It is an instant way to hygienic hands, it proved to be really useful while was travelling.. You just need to apply it in your palms and rub it until dry, You can use it when you want to eat something quickly. A must have product as per the current covid-19 situation.",Nice product,5,0.135,0.0,0.865,0.8718,Positive
26,2020-06-10,Complete value for moneyThe lifebuoy sanitizer comes in a leak proof transparent plastic bottle. The product is by lifebuoy so there is no question regarding the effectiveness of the sanitizer against germs. It is handy and as per the condition nowadays it is a economic health saver. Best for usage outdoor for the whole family. The fragrance is mild. The sanitizer being alcohol based Vapourises leaving the hands soft. It doesn't dehydrate the skin too much. Overall totally worth the buy. The ratio of quantity to price is very economical.,Great buy at a great price,5,0.091,0.05,0.8590000000000001,0.6032,Positive
27,2020-06-21,"Lifebuoy is a popular hand sanitizer that I receive at home.This sanitizer offers 99.99% protection from germs without using soap or water and is quite effective in keeping you protected from illnesses too as at this time covid -19 pandemic.This alcohol-based hand sanitizer makes sure that your hands are germ-free and this sanitizer usually consists of 95% Alcohal which is available in the form of ethanol, propanol, and isopropanol. It is very essential to protect from covid-19.",Good Product,5,0.22699999999999998,0.035,0.737,0.9473,Positive
28,2020-05-21,"As per today’s condition sanitizer is must for everyone. I bought this sanitizer because it has 70 percent alcohol which is good as per doctor’s recommendation. It not only kills 99.99% germs instantly, but also boosts you immunity for upto 10 hours. Also it is coming from an old and a reputed brand. Lifebuoy Immunity Boosting Hand Sanitizer comes in great fragrances that keep your hands smelling fresh and great. I will definitely try other variants as well and will recommend it to everyone.",Must have product,5,0.35100000000000003,0.0,0.649,0.9898,Positive
29,2020-05-14,Nice. Quality &amp; alcohol base it is good product. But smelling like sweet chocolate type. Privice Lifebuoy hand senitizer is smelling much better than this senitizer. Thatsway I have given 3 star.,Nice product,3,0.445,0.0,0.555,0.9598,Positive
30,2020-05-27,"Lifebuoy hand sanitizer is necessity product these days sanitizer. As it is essential product to protect us from covid 19. Lifebuoy hand sanitizer is with 70% alcohol has good fragrance which helps fin full orotextion and safety and helps to foght with germs, bacteria and virus for a longer time, we have to use ot refularly after touching any item and it is very easy to use and can be used by any age group specially children and senior citizens. Also coming from sucha reputed and trusted brand like lifebuoy makes it more convenientand provides confidence. Go for it guys, must buy product at these difficult times and a great value for money.",Must buy santizer from lifebuoy.,5,0.28,0.018000000000000002,0.7020000000000001,0.9875,Positive
31,2020-06-10,"Lifebuoy hand sanitizer is jel sanitizer. It is now a necessity to sanitise things due to the covid 19 situation. Lifebuoy hand sanitizer is with 70% alcohol it boost our immunity for a longer time.it is very easy to use first apply on your palm,spread and rub front and back of your hand,apply it on fingertips also until dry. Lifebuoy is a trusted and a household brand . Best part is it is made in India .Delivery was on time and value for money. Would def recommend !!!",Best sanitizer!!!,5,0.253,0.0,0.747,0.976,Positive
32,2020-06-02,"Yesterday I received my order of LIFEBUOY ALCOHOL BASED HAND SANITIZER from amazon, so just thought of sharing my experience with you all.I used it many times and must say its a damn good product. It kills 99.9% germs and also its scent is very soothing.It gives almost 10hrs protection and doesn't make skin dry. It's very gentle on skin and does what it claims.Best is absolutely travel friendly pack. Highly recommended and value for money too.Stay at home.. Stay safe with lifebuoy hand sanitizers.",Lifebuoy in... Corona out of your life,5,0.272,0.057999999999999996,0.669,0.9668,Positive
33,2020-06-13,"Have been using lifebuoy for a long time. Great product to have during this pandemic. This sanitizer has a good fragrance that last for a while. Quality is very nice as compared to others. It contains 95% ethile alcohol and this sanitizer is gel based. One of the most important thing is that it's consistency is thicker than others. I got a dispenser type bottle in seal pack condition. I am extremely satisfied as it's lifebuoy product and did justice to the brand name. It is easy to use, just take little amount of sanitizer on your palm, spread and rub over back of hands until dry. It protects us for longer time. Worth the money and highly recommended.",Highly recommended,5,0.213,0.0,0.787,0.9773,Positive
34,2020-05-20,Product received is different from product shown.,Not Original,1,0.0,0.0,1.0,0.0,Neutral
35,2020-05-19,"Like this product of Lifebouy for it's quality, soothing touch, no skin burn feeling. However, I had indented 3 Nos liquid sanitizer with mouth spray for use in my family but surprisingly all the 3 Nos. item found to be gel. Plz follow transparency policy in product nomenclature so that a bona fide customer may opt the product of his or her choice. Thanks.",Transparency policy in product nomenclature.,4,0.18899999999999997,0.024,0.787,0.8462,Positive
36,2020-06-18,"In this tough time this is the best hand sanitizer with 70% Alcohol, One of top leading brand that we can trust , I really like this it's gel based and not watery, I carry this hand sanitizer wherever I go and best part it's pretty affordable, 500 ml at only Rs 250 . It has mild fragrance which j really like.Even I use this sanitizer to sanitize my phone and other stuffs from my bag. I strongly recommend this product to everyone in very much affordable price.",Must have product from trustworthy brand,5,0.302,0.015,0.6829999999999999,0.9817,Positive
37,2020-05-20,Delivered one open pack with all seal opened and torned,Worst,1,0.0,0.0,1.0,0.0,Neutral
38,2020-07-04,"Bad scent, very different from 60 ml I used earlier, noticeable changes are, bad scent (guess they didn't mix any), much less viscose (even if that's not important, I must mention it's like water)",Much different from 60 ml packaging bought in January.,2,0.064,0.22,0.716,-0.7263,Negative
39,2020-05-24,"I will sum up my review in following parts.1. Cap- The first thing I noticed before ordering is that many people received a bottle with different cap, so did I. The only reason I could think of is that company might have run out of red cap. Also checked with other customers on different websites and some of them have also received the product with different cap.2. Smell/Scent- The sanitizer has strawberry smell, which is different from the other lifebuoy sanitizer but it might be due to the fact that this sanitizer has different composition that the one we buy at our local shop.3. I checked for any tampering with the bottle but even the Cap has two seals, one at the top of the bottle which we will need to remove before using the sanitizer and the other at the bottom to remove the whole cap from the bottle this is visible in many photos submitted by other reviewers.4. The sanitizer is flammable so it does contain a good amount of alcohol.Overall I am satisfied with the product. But they need to provide a disclaimer about the cap and that the image might be different then the original product.",Most Probably Original.,5,0.063,0.0,0.937,0.9136,Positive
40,2020-05-25,"It is made with a gel formula enriched with vitamin E and natural moisturizers that clean your hands thoroughly while also leaving them feeling soft and fresh. This sanitizer is formulated with an anti bacterial solution that eliminates all bacteria, leaving your hands healthy and germ free. Just rub onto your hands and this non sticky hand sanitizer can eliminate up to 99.9 percent germs in 10 seconds. The perfect disinfectant to add to your travel and cosmetics kits.",A must buy product in current situation,5,0.27899999999999997,0.024,0.6970000000000001,0.9686,Positive
41,2020-06-15,"In current situation Lifebouy santizer is the best. It is 95% ethyl alchohol with 70% of isopropyl alcohol). IT is gel and not water based, which makes it's use really easy. It comes from trusted brand. The smell is pleasant. Hands do feel fresh after using it. It is cost effective, not expensive.",alcohol based handwash.,5,0.29,0.0,0.71,0.9595,Positive
42,2020-05-29,"Lifebuoy is one of the best brand from unilever, I have been using it's products from my childhood it never disappoint .....so I bought this sanitizer and it's very goog gel like consistency with a slight fragrance. Alcohol content is also enough so it's good to buy.",Lifebuoy is best !!!!,4,0.237,0.0,0.763,0.9081,Positive
43,2020-06-18,I love this Lifebuoy hand sanitizer! It is alcohol based.. you need not depend on the availability of water and soap.. it cleans your hand on the go and you can eat your food without having to worry about germs. It's useful for kids and adults alike. I love its fragrance. Just a small amount of sanitizer goes a long way! It's easy to carry and is super useful! Love it!,Bye Bye Germs!,4,0.382,0.0,0.618,0.9884,Positive
44,2020-05-23,"I was running out of Sanitizer and I can trust only is Lifebuoy Hand Sanitizer ,The very important thing in this current situation we need is to just take care of ourselves and to keep hygiene..In order to stay safe I use Lifebuoy hand Sanitizer to avoid Virus and I think it's the safest one ..Smells good,soothing on hands and safe I must say...I highly recommend to you all...",Highly recommend!!,5,0.319,0.027000000000000003,0.655,0.9722,Positive
45,2020-07-10,In this pandemic time savior is sanitizer and Lifebuoy sanitizer is a good sanitizer available. It kills germs and moisture hands it doesn't make hands rough as most of the sanitizer does. I have been using this for a long time and can say its worth buying.,Good buy,5,0.09699999999999999,0.071,0.8320000000000001,0.0772,Positive
46,2020-06-14,As today we are facing a great pandemic covid-19 it is our duty to keep ourselves and our hands clean and lifebouy handsanitizer is providing the best as it is alcohol based and fights the germs 99.99% which is what we need the most. Another thing is the texture and consistency is very smooth as it spreads very evenly on the hands without making our hands oily. I like the fragrance as it is very light and does not have any bad odour or strong smell that irritates later.The packing is good and very easy to open and pour. It also have good price worth the money and quantity is pretty good.,Stay safe,5,0.265,0.039,0.695,0.9838,Positive
47,2020-07-11,"The brand is sufficient to trust the quality. Though I thought that the content would be bit of watery but it's more of a gel, which according to doctors and specialist is the real identity of a samtizer. Also, use it only when you don't have the option of soap and water because excessive use of samtizers can lead you to allergies and other itchy issues.",Brand is sufficient,5,0.033,0.04,0.927,-0.128,Negative
48,2020-05-23,Fragrance-100%Cleanliness-100%During this lockdown I was concerned about protection from germ &amp; purchased this alcohol based germ sanitizer.Happy with the usageAft comin frim market this is the first thing v use before entering n touching other things at home .,Germ se raho dur,5,0.0,0.0,1.0,0.0,Neutral
49,2020-08-31,Got this at 225 rupees though MRP is 250 rupees.Surprised by amazon delivery because I got it delivered in the next day in rural area.This sanitizer has more alcohol percentage compared to others in the market with similar price.Previously I was using same sanitizer.Now it become little thinner though it is gel based.Immediately catches fire from match stick due to high alcohol content. Don't try at home.,Best hand sanitizer you can trust 100 percent.,5,0.025,0.036000000000000004,0.9390000000000001,-0.1779,Negative
50,2020-07-10,It seems duplicate product I have recieved. Item in the picture and the item received is different (cap). Regularly I have purchased lifebouy sanitizer (small size ) from local stores for past 5-6 months and its smell good and little bit of gel type. But this one smells entirely different and it's like water type.Also delivery takes lots of time.its in my near by place and it took 4-5 days for delivery,Seems like a duplicate product,1,0.07200000000000001,0.0,0.9279999999999999,0.6369,Positive
51,2020-05-28,"Its manufactured by some third party and sold under Lifebuoy brand, the quality is not same/good, as that of small bottles of same brand.Scent is too strong &amp; remains for long time, and a bit sticky on hands...","Too strong smell, sticky...",2,0.146,0.0,0.8540000000000001,0.7184,Positive
52,2020-05-31,"""scent"" like sweet candy, gel based very thick gel. Alcohol 70% . All good but didn't like the scent.On my recomend1Dettol no scent2Dabur scent like flower &amp; lemon3 Lifebuoy scent like candy",Sweet candy type scent,4,0.366,0.066,0.568,0.8922,Positive
53,2020-06-19,Product is good but packaging was vary bad..i received brocken pump set..it was very difficult to use pump was not working properly and it was a not returnable product..So I had to transfer the sanitizer it into a empty old bottle to use it..,Bad experience,4,0.043,0.128,0.8290000000000001,-0.6046,Negative
54,2020-06-22,"Value for money, the quantity is more compared to other sanitizers, has more percentage of alcohol which ensures complete protection!! This is a good buy indeed. Additionally it also has a safety lock feature keeping it same from kids.",Value for Money OK_hand ,4,0.203,0.0,0.797,0.8264,Positive
55,2020-06-24,In the current times we always need to clean our hands with soap or sanitizer to be safe.What could be better than our trusted brand lifebuoy..it has 70% alcohol thus perfectly capable of killing all kinds of microorganisms..The product comes in good airtight packaging and is gel based non messy hand sanitizer.The best part is it is having a nice light scent not harsh alcoholic smell...,Best value for money hand sanitizer from a trusted brand..,4,0.341,0.076,0.583,0.9723,Positive
56,2020-06-08,Gel like but thin texture... Evaporates quickly... Doesn't leave any sticky feeling on hand... Has strong alcoholy fragrance and definitely very affordable,Affordable,4,0.428,0.0,0.5720000000000001,0.8939,Positive
57,2020-06-23,At this situation the most important thing is clean hands. So lifebuoy had sanitizer is very mild scented. Comes with a convenient Bottle which make it easy to use. It is very affordable and value for money. Over all very happy with the product quality and quantity.,Happy with quality and quantity,5,0.259,0.0,0.741,0.9239,Positive
58,2020-08-01,"Sanitizer bottles were received without seal, which raises doubt whether the sanitizer liquid is genuine. I am not going to use this item in this condition. If Amazon takes it back, it is OK. Otherwise I shall dump it in dustbin. Very bad. Amazon should be careful in selling such products. In April 20 I purchased three bottles of Lifebuoy sanitizer of 500ml pack from Flipkart, which were received in nice sealed pack condition. This is not expected from Amazon.",Received without seal,1,0.139,0.1,0.7609999999999999,0.1381,Positive
59,2020-06-12,"During this covid‐19 time it is very essential product and value for money .it has proper alcohol composition balance as recommended by WHO.comes directly from hindustan Unilever. Its important to sanitize hands while he is out of home and other equipments like helmets ,lifts ,doorknobs glasses etc.",Lifebuoy alcohol based sanitizer.,5,0.165,0.0,0.835,0.7579,Positive
60,2020-07-03,Lifebuoy hand sanitiser is much required product in today’s scenario where everyone is selling sanitiser and the worst part is that u can’t trust that are they actually giving 70 % alcohol but with lifebuoy u can undoubtedly trust the product and brand . Fragrance is really good and product is also good. Skin doesn’t feel dry after using . Recommended product and true value for money .,Best Product *****,4,0.33899999999999997,0.031,0.63,0.9762,Positive
61,2020-06-09,"It has strawberry fragrance, A PERFUMED Gel based sanitizer, in this bottle you will get much higher Alcohol composition than CDC( Center for decease control and prevention) recommends. Life saver in this pandemic situation.... I'm using it since years n i keep on buying this sanitizer for my life time.... Feels so fresh n cool when u use it.... But beware when u r working in kitchen... Keep this away from children n fire as well....Go for it.","Very good sanitizer, a large bottle for anytime, anywhere use. Gel based",5,0.07,0.042,0.888,0.0348,Positive
62,2020-06-20,I stand by Lifebuoy products only because they have been in the market for many many years. I trust their products and they were first company to bring in hand sanitizers in India. It has no smell and the alcohol content is correct. It dries fast and definitely safe for kids. I trust Lifebuoy for my Kids.,I trust Lifebuoy for my Kids,5,0.235,0.034,0.732,0.9217,Positive
63,2020-06-26,This one has some kind of strawberry smell which is really nice. Not like those 90 percent isopropyl ones which has kerosene type of smell. You won't be able to smell the EtOH in it unless you mix some amount of water with it cz this one is a totally gel type sanitizer.The only problem i faced with this sanitizer is that you have to pour a really lagre amount of it in your hands to rub cz this one evaporates really quick.,Better than those homemade daru sanitizer remedies.,4,0.036000000000000004,0.06,0.904,-0.2455,Negative
64,2020-07-08,Absolutely fake product! Out of 4 bottles one was probably original but the rest 3 were fake and easily discernable as handmade!!! Disgusted as was expecting all 4 original ones!!! The caps were also broken,Total Fake product using Brandname,1,0.156,0.33799999999999997,0.506,-0.9002,Negative
