,Date,Review_text,Review_title,Stars
0,2020-04-28,VERY HIGH PRICE MRP 250.00 BUT SALE MORE PRICE,PRICE,1
1,2020-05-07,"Finally got this in my hand after a long wait....I have been using LIFEBOUY sanitizer for a really long time....due to COVID 19 pandemic situation it was out of market, not even available on AMAZON...After a long pause I have finally received my most favourite brand in terms of maintaining hygiene....Thank you AMAZON for a very nice packaging,a much much early delivary... And thank you LIFEBOUY for this necessary useful and most effective product folded_hands  folded_hands ",Long waiting has come to an end red_heart  red_heart ,5
2,2020-05-06,This is fake product. No manufacturing or expiration date is mentioned on the bottle.,Duplicate product,1
3,2020-06-17,"I placed order thinking that it has dispenser cap. In the picture shown in product description also, dispenser cap is there. But I received the product without dispenser. Amazon, please consider this issue in future orders.I have no other issues like quality or delivery. Thank you",No dispenser cap,4
4,2020-05-05,"Internal packing is poor, I got sanitizer bottle with leak.Secondly, I doubt the sanitizer seems to be not real one... solution seems to be very dilute &amp; I have not noticed that it is not vaporizing when I compare to same brand sanitizer.Friends be careful, high time to receive such duplicate products.",Poor packing &amp; not a real sanitizer !!,2
5,2020-06-15,Most trusted brand... i have been using this product since long... it kills all harmful germs ... I am using this sanitizer in this Covid-19 situation...it is alcohol based sanitiser and has mild and refreshing smell... it is good for all types of skin... use 3-4 drop to clean your hand ... it leaves hands soft after applying... I would suggest everyone to use this sanitizer to protect your family from any kind of infection ... I have used many sanitizers but they contain very less alcohol and not worth to use especially in this pandemic... I just love this product and would recommend to everyone..,Best alcohol based sanitiser,5
6,2020-05-20,"The package I received was ateast 8-9 days late from the given deadline (in total it took 18-20 days) ...also it was torn up from at least three sides (as if someone was poking around it to check the inside contents)...so from delivery aspect I couldn't be more disappointed (this is the first time, I have encountered such a nuisance from amazon).COMING TO THE PRODUCT on a scale of 1-10 ..it deserves may be 2/10 and that also for having alcohol ....Fragrance wise ...1/10 .. as its really hard (it'll give u nausea believe me) and forever lasting.. believe me it won't go away even after washing your hands twice.BETTER GO FOR SOME OTHER BRAND ..like Dabur..Dettol...savlon.. Himalaya...or any other brand of your choice....",Don't buy it. SOMETHING is definitely off about this product.,1
7,2020-05-01,"Poor bottle mechanism, broken cap which results to leakage",Broken cap,2
8,2020-06-08,"Lifebuoy being a trusted brand it is a no brainer choice for something as important in today's date as a hand sanitizer.The product is slightly thicker in consistency than other brands I've tried, which makes it easy to apply without it spilling off one's hands.A small helping spreads easily &amp; coats the hands well.Mild and moisturising formula, it doesn't leave hands dry after use.The scent is mildly stronger than others.",Effective sanitizer,4
9,2020-06-19,feel like different quality product.I used lots of hand sanitizer of lifebuoy before lockdown.Different fragrance and sticky feel after use.I feel its fake or because of covid. Quality compromised.I bought from cloudtail saller.I got damaged pump bottle .Damaged bottle in box packaging.No bobble packaging in box.,Lifebuoy hand sanitizer without original fragrance,1
10,2020-05-05,Broken cap n i dnt think its an original hand sanitizer from lifebuoy,worst,1
11,2020-06-10,"I purchased this sanitizer recently for my use at home. It is really effective and easy to use. A drop of Lifebuoy kills 99.99% germs instantly. And also boost imunity for upto 10 hours. In this time of pandemic using lifebuoy hand sanitizer is the best option. It's fragrance is the also very soothing. It's not harsh like other alcohol based sanitizers available in the market,as it has aloe vera extract which keeps hands soft. I highly recommend this product to everyone.",Lifebuoy hand sanitizer is - the best SANITIZER  lotion_bottle  palms_up_together  lotion_bottle  palms_up_together ,5
12,2020-05-05,The cap was damaged and also liquid was spilled out.. first time in history I have received an damaged product  disappointed_face ,Damaged product received,1
13,2020-06-08,I am extremely satisfied with this product. Lifeboy hand sanitizer promises to kill 99.9percent germs which is the need of the hour. I use it very frequently to protect any kind of virus or germs getting stuck to my hands. Just a little amount needs to be applied on hands and fingertips and needs to be rubbed together. It easily gets absorbed by the skin. It has a wonderful fragrance that stays in hand for long. It has alcohol as the main base which is known to disinfect hands. Its a great product of HUl and is well priced. I would highly recommend everyone to buy this product as it keeps you protected and disinfects your hands easily.,Nice product,5
14,2020-05-08,Leakage product... it's not at all good product..compare to same brand.,Cap broken.. leakage product,1
15,2020-07-25,"A really good product.But they have changed the efficacy of the product by taking a steo down from the alcohol levels. First it used to come with about 93% content but now it has been redesigned with about 72%-73% content.No harm no foul but charging the same price for a product that has cut some corners well not a good practice.Anyways the product smells wonderful and it works as intended. But the pump action is somewhat worst in all the products I have tried.It keeps dripping on it's own without even pressing the nozzle. I don't know why, but it's the same in both the products that I have bought locally and from amazon. So if lifebouy is reading this, please sort this issue guys!",Good product with revised contents!,4
