,Date,Review_text,Review_title,Stars
0,2020-05-30,"150 Rs for 75 ml, very expensive and small bottle. It hardly lasts. Take the savlon disinfectant for same price and triple and more the quantity .",Waste of money.,1
1,2020-05-20,"Very helpful and handy product these days.This germ kill spray from Lifebuoy kills 99.99% germs instantly without water anytime, anywhere.How to use ? Indications Spray it on your palm. Spead &amp; rub over back of your hands and fingertips until dry.Can be used on wall surfaces, tables, door knobs, etc for proper sanitization.Its safe to use on both skin and surface.",Very helpful and handy product these days.  thumbs_up_light_skin_tone  white_heavy_check_mark ,4
2,2020-05-21,"I have been looking for sanitizer sprays that are multipurpose and came across this. This product from lifebuoy is a must have. Can be used on hands, toys, mobiles....anywhere grinning_face_with_big_eyes ",Best sanitizer/ disinfectant spray,5
3,2020-05-20,Good one,Awesome product from lifebuoy,5
4,2020-05-23,Good and genuine product,Genuine product,5
5,2020-06-04,This is to my dismay that Amazon being so vigilant has delivered me a package where both bottles didn't have any kind of protective seal so that none of the spray leaks. Next anyone having a basic sense would understand that the net weight/quantity was pretty less as compared to what it should posses. Lifebuoy should be much more aggressive while pricing the net amount is not worth the money. I recommend to look into other products. Not worth the price.,Dissatisfaction and disappointment,1
6,2020-05-24,Very expensive.. compared to competition...,Very expensive for size,1
7,2020-06-18,"I was terribly disappointed to see little size of the bottle. Normally at time of ordering customer sees product pictures &amp; order assuming that qty will be comparable to other competitors. However, i feel like cheated by Lifebuoy by delivering a little bottle at the same price which its competitors are delivering double qty. Also the bottle does not have any seal inside. This means it could have been used by anyone earlier. Irony is that you cannot return this product after you receive it. Such a pity &amp; quite shameful. Will never buy or recommend it for anyone",Too little &amp; Very Costly,1
8,2020-06-06,first of all when v open d box one of d spray doesn't hv upper lid. the spray pressure z not very powerful. scent z ok. pri e z high. why a product should come to us without lid...what's d quality control???since v hv to use it urgently v r not returning...as it wld again tk 4/5 days. but be careful bfr dispatching any product to customer ...why compromise on quality n ur name..,sub standard item,2
9,2020-06-16,"Quantity is very less, there is no seal so we dont know if it's a fresh piece or used and opened one....savlon spray is a better buy as savlon has more quantity for the same price...not returning as I require it...but will not purchase it next time...dettol and savlon spray are better products than this so would preferably buy these next time",Not so much worth,1
10,2020-05-31,"Lifebuoy products have always been a hot favourite in our household, despite HLL having once been a competitor of my erstwhile company P&amp;G.I quite liked the germ spray, but if you're thinking that it will kill viruses you may want to think twice before picking one up.Carmelita FernandesFood &amp; Travel Writer",Germ but not Virus Spray,4
