,Date,Review_text,Review_title,Stars
0,2020-05-18,Not same as shown in the picture of product description. Not sure whether the product is duplicate or Not?,Duplicate????????,1
1,2020-05-15,"It's a fantastic and genuine product with great quality. Always go for the genuine and old and trusted brands like Dettol Lifebuoy Dabur Boroplus etc and avoid newly mushroomed fake and unreliable brands like Floh, Mirah Belle etc. I've mentioned these two brands in particular because I've been cheated by them. Their sanitizers are of extremely low quality and hazardous.",Great product,5
2,2020-05-23,"Everything was good but just wanted to check if bottle packing is legitimate as both bottel cap is different hence just need confirmation if this is original product otherwise everything is good, delivery on time","Excellent product, just need little clarification",5
3,2020-05-22,"I saw so many reviews and people are sayibg that is duplicate but let me clear your doubts its not at all duplicate its an original product by lifebuoyFirst of all there is a slight change in packaging as the cap is a air tight cap different from pre corona packaging, it is different just to prevent the alcohol content from any leakage or dryingSecondly its absolutely safe i have ordered the product and still using it regularly, see the thing is they have increased the composition of alcohol in the sanitizer for better protection from corona as it says it has 95% Ethyl so dont woery its absolutely safe abd change in smell is due to increased composition of ethyl in itAnd it even has batch no. Licence date of packaging and hall mark of hindustan unilever so don't panic its absolutely safe and brand life lifebuoy will never cheat, i repeat its absolutely safe and like any other sanitizer it has a cooling effect after applying to your hands thats a sign of alcohol content in it which makes it a pure and safe sanitizer  grinning_face ",This is not a duplicate sanitizer,5
4,2020-05-14,"Don't buy., It's completely duplicate product","Don't buy, duplicate product",1
5,2020-05-17,Why there is a difference in the product image and the real received. I have received the product with a different type of cap in blue color. Is it authentic?????,Product is different from the image,1
6,2020-05-30,"It is definitely a must have product during current Covid-19 situation. It has proper composition balance as recommend by WHO (95% ethyl alchohol with 70% of isopropyl alcohol). Comes directly from the house of Hindustan Unilever.Delivery was prompt on time &amp; all safety measures were taken by delivery agent. Must appreciate the work Amazon &amp; other unicorn are doing to help public by delivering goods &amp; Services at doorstep during these tough times.One can use a spray bottle to sanitize other equipment used while stepping out of home without wasting it. Like helmet, glasses &amp; wallet etc.",Lifebuoy Hand Sanitizer with WHO Recommend Composition - Must have product during Covid-19,5
7,2020-05-17,"The smell of the product received is totally different from the ""LIFEBUOY Sanitizer"" I used at present, which have a very pleasent smell.....Moreover the cap shown in the picture is different from what I received.... Amazon should strictly instruct the Selling Partner to deliver exactly the same product as shown in the picture otherwise this amounts to cheating/harrasment of Customer and Amazon will loose Customer Faith.",Not the same product as shown in pic,2
8,2020-05-18,Please note the sanitizer bottle inside the box was not sealed and bottle was received 1/4 th empty.,Received Sanitizer Bottle 1/4th empty.,1
9,2020-05-18,The cap shown in the picture is not same of the item which I get.. Don't know whether it is original or not...,Buy it in local market...,1
10,2020-05-19,It's a duplicate product ... Bcoz I m using this brand sanitizer from few months but this product has totally different smell and even when u use it it's make a little bit burning feeling in your hand .... I will not suggest to buy this product at all ...,It's a duplicate product,1
11,2020-05-15,The smell is not same as my old lifebuoy hand sanitiser and the gel is more greasy that what I used earlier and I’m hoping it’s original and contains 70% alcohol. As it can’t be returned.,I’m hoping it’s original,3
12,2020-05-21,One of best sanitizer available in the market currently..this product kills 99.9 germs and having good fragnance as well . This product is very important to prevent all the bacterial diseases. It's very easy to use as well one needs to take a drop and apply on your palm and rub over back of your hands and fingertips until dry. And now you are good to go... Happy with this product  smiling_face_with_smiling_eyes ,An essential product to prevent bacterial diseases,5
13,2020-06-01,"As we know current scenario, good sanitizer is more important. Lifebuoy is one of trustworthy &amp; top leading brand. Recently I ordered for lifebouy Hand Sanitizer which we are using since I received it. I choose this coz it is 70% Alcohol. It is gel based and not to watery, very easy to use which kill germs instantly, without water &amp; last upto 10 hours. Comes in good packaging easy and convenient way to even carry.can be used anytime &amp; anywhere. Loved its fragrance it gives instant freshness. Best value for money..",Best gel based sanitizer for instant use.,5
14,2020-06-28,Ordered two and both are duplicate. I have used lifebuoy sanitizer before and i know how it smells but these smell exactly like vodka. Its like they actually mixed vodka in it. It smells v.v.bad and i feel nauseated just opening the bottle cap. The original lifebuoy sanitizers have red caps but these bottle caps are blue in colour. Oh and the bottles also look old as they are scratched all over like its been used before. And there is obviously no return policy!!!! CHEATED!!! Amazon please look into this!!!!,RECEIVED DUPLICATE PRODUCTS,1
15,2020-05-28,"The product is fake I have a smaller bottle of the same bought from the Apollo medical store, but there is no comparison of the two, the sanitizer bought from Amazon is just a gel with no smell no chemical... Waste of money don't buy",Duplicate sanitizer,1
16,2020-05-21,"In current situation of pandemic, sanitizer has become one of the most important things. I have tried many during this time but found Lifebuoy hand sanitizer to be one of the best. It has 70% alcohol that kills 99.99% germs and provides you with clean and germ- free hands. It is very convenient to use and can be used anytime anywhere without water. It is gel based and gentle on hands. Also, it doesn’t smell like those typical cleansers rather it has a soothing fragrance.",Highly recommended prodcut,4
17,2020-05-29,Lifebuoy Sanitizer with Quick &amp; Persistent Action on Germs Keeps You Protected.This saniizer has really good quantity and worth buying for just 250. It does not irritates the skin after using.This sanitizer is really good and effective in this situation as it contains 70% alcohol which is pretty good.We can use this lifebuoy sanitizer in this crucial time.The fragrance is also not hard and very good. Mild get texture it has and can be used multiple times a day.,Very nice sanitizer,5
18,2020-05-24,"This is duplicate product, i have used lifebouy sanitizer in past and that has really pleasant smell but this one which i received has foul/plastic kind of smell. Really disgusting.. also the cap is different.",Duplicate product received,1
19,2020-05-21,"Lifebuoy hand sanitizer is perfumed jel sanitizer.now a days this is very necessary to protect ourselves from Corona virus.Lifebuoy hand sanitizer is with 70% alcohol it boost our immunity for a longer time.it is very easy to use first apply on your palm,spread and rub front and back of your hand,apply it on fingertips also until dry.I use because it is trusted brand,it is affordable for us .it protect us for a longer time.thanks Lifebuoy  slightly_smiling_face ",best protector sanitizer,5
20,2020-06-01,Very Good product 'TOP OF THE LINE'.Was out for delivery the day 'Amphan Super Cyclone' hit Kolkata the package became wet and torn but was actually delivered way long like a week after the cyclone passed.'Amazon' shouldn't have risked to deliver on the day cyclone was supposed to hit Kolkata. Please Amazon don't risk your employees and the packages during such Natural Calamity and keep the package at secure facilities trust me everyone will appreciate it.,Damaged Package,5
21,2020-05-18,Got Duplicate Product.. And There Is No Return Policy.. Don't Buy.. Go For Himalaya Hand Sanitizer,Duplicate Product,1
22,2020-05-20,Duplicate sanitizer.There is no typical lifebuoy odour.,Fake product,1
23,2020-06-10,"With COVID-19 situation getting worse, I was really worried of my family's safety. So I bought Lifebuoy hand sanitizer. It's really a good product as it is alcohol based and kills 99.9% germs keeping us safe from any diseases. The smell also is so good, not like other sanitizers which leave the alcohol smell after use. It has the pleasant berry fragrance and the kids will love this smell. The packaging is also good. A total worthy product.",Best sanitizer with pleasant fragrance,5
24,2020-05-19,"Love this refill bottle. I have so many little empty sanitizer bottles which need filling like the one that goes in my bag, the one in the car and the one that my daughter takes to school. This just perfect for all those refills. Also love the effectiveness by a trusted brand",Fabulous refill,5
25,2020-06-20,"I wanted a Hand sanitizer to keep in my car and I found Lifebuoy Hand Sanitizer the most convenient as this 500ml bottle comes with a pump... It is an instant way to hygienic hands, it proved to be really useful while was travelling.. You just need to apply it in your palms and rub it until dry, You can use it when you want to eat something quickly. A must have product as per the current covid-19 situation.",Nice product,5
26,2020-06-10,Complete value for moneyThe lifebuoy sanitizer comes in a leak proof transparent plastic bottle. The product is by lifebuoy so there is no question regarding the effectiveness of the sanitizer against germs. It is handy and as per the condition nowadays it is a economic health saver. Best for usage outdoor for the whole family. The fragrance is mild. The sanitizer being alcohol based Vapourises leaving the hands soft. It doesn't dehydrate the skin too much. Overall totally worth the buy. The ratio of quantity to price is very economical.,Great buy at a great price,5
27,2020-06-21,"Lifebuoy is a popular hand sanitizer that I receive at home.This sanitizer offers 99.99% protection from germs without using soap or water and is quite effective in keeping you protected from illnesses too as at this time covid -19 pandemic.This alcohol-based hand sanitizer makes sure that your hands are germ-free and this sanitizer usually consists of 95% Alcohal which is available in the form of ethanol, propanol, and isopropanol. It is very essential to protect from covid-19.",Good Product,5
28,2020-05-21,"As per today’s condition sanitizer is must for everyone. I bought this sanitizer because it has 70 percent alcohol which is good as per doctor’s recommendation. It not only kills 99.99% germs instantly, but also boosts you immunity for upto 10 hours. Also it is coming from an old and a reputed brand. Lifebuoy Immunity Boosting Hand Sanitizer comes in great fragrances that keep your hands smelling fresh and great. I will definitely try other variants as well and will recommend it to everyone.",Must have product,5
29,2020-05-14,Nice. Quality &amp; alcohol base it is good product. But smelling like sweet chocolate type. Privice Lifebuoy hand senitizer is smelling much better than this senitizer. Thatsway I have given 3 star.,Nice product,3
30,2020-05-27,"Lifebuoy hand sanitizer is necessity product these days sanitizer. As it is essential product to protect us from covid 19. Lifebuoy hand sanitizer is with 70% alcohol has good fragrance which helps fin full orotextion and safety and helps to foght with germs, bacteria and virus for a longer time, we have to use ot refularly after touching any item and it is very easy to use and can be used by any age group specially children and senior citizens. Also coming from sucha reputed and trusted brand like lifebuoy makes it more convenientand provides confidence. Go for it guys, must buy product at these difficult times and a great value for money.",Must buy santizer from lifebuoy.,5
31,2020-06-10,"Lifebuoy hand sanitizer is jel sanitizer. It is now a necessity to sanitise things due to the covid 19 situation. Lifebuoy hand sanitizer is with 70% alcohol it boost our immunity for a longer time.it is very easy to use first apply on your palm,spread and rub front and back of your hand,apply it on fingertips also until dry. Lifebuoy is a trusted and a household brand . Best part is it is made in India .Delivery was on time and value for money. Would def recommend !!!",Best sanitizer!!!,5
32,2020-06-02,"Yesterday I received my order of LIFEBUOY ALCOHOL BASED HAND SANITIZER from amazon, so just thought of sharing my experience with you all.I used it many times and must say its a damn good product. It kills 99.9% germs and also its scent is very soothing.It gives almost 10hrs protection and doesn't make skin dry. It's very gentle on skin and does what it claims.Best is absolutely travel friendly pack. Highly recommended and value for money too.Stay at home.. Stay safe with lifebuoy hand sanitizers.",Lifebuoy in... Corona out of your life,5
33,2020-06-13,"Have been using lifebuoy for a long time. Great product to have during this pandemic. This sanitizer has a good fragrance that last for a while. Quality is very nice as compared to others. It contains 95% ethile alcohol and this sanitizer is gel based. One of the most important thing is that it's consistency is thicker than others. I got a dispenser type bottle in seal pack condition. I am extremely satisfied as it's lifebuoy product and did justice to the brand name. It is easy to use, just take little amount of sanitizer on your palm, spread and rub over back of hands until dry. It protects us for longer time. Worth the money and highly recommended.",Highly recommended,5
34,2020-05-20,Product received is different from product shown.,Not Original,1
35,2020-05-19,"Like this product of Lifebouy for it's quality, soothing touch, no skin burn feeling. However, I had indented 3 Nos liquid sanitizer with mouth spray for use in my family but surprisingly all the 3 Nos. item found to be gel. Plz follow transparency policy in product nomenclature so that a bona fide customer may opt the product of his or her choice. Thanks.",Transparency policy in product nomenclature.,4
