,Unnamed: 0,Date,Review_text,Review_title,Stars,Positive,Negative,Neutral,Compound,Overall
0,0,2020-05-18,Not same as shown in the picture of product description. Not sure whether the product is duplicate or Not?,Duplicate????????,1,0.0,0.098,0.902,-0.2411,Negative
1,1,2020-05-15,"It's a fantastic and genuine product with great quality. Always go for the genuine and old and trusted brands like Dettol Lifebuoy Dabur Boroplus etc and avoid newly mushroomed fake and unreliable brands like Floh, Mirah Belle etc. I've mentioned these two brands in particular because I've been cheated by them. Their sanitizers are of extremely low quality and hazardous.",Great product,5,0.206,0.143,0.651,0.701,Positive
2,2,2020-05-23,"Everything was good but just wanted to check if bottle packing is legitimate as both bottel cap is different hence just need confirmation if this is original product otherwise everything is good, delivery on time","Excellent product, just need little clarification",5,0.215,0.0,0.785,0.8294,Positive
3,3,2020-05-22,"I saw so many reviews and people are sayibg that is duplicate but let me clear your doubts its not at all duplicate its an original product by lifebuoyFirst of all there is a slight change in packaging as the cap is a air tight cap different from pre corona packaging, it is different just to prevent the alcohol content from any leakage or dryingSecondly its absolutely safe i have ordered the product and still using it regularly, see the thing is they have increased the composition of alcohol in the sanitizer for better protection from corona as it says it has 95% Ethyl so dont woery its absolutely safe abd change in smell is due to increased composition of ethyl in itAnd it even has batch no. Licence date of packaging and hall mark of hindustan unilever so don't panic its absolutely safe and brand life lifebuoy will never cheat, i repeat its absolutely safe and like any other sanitizer it has a cooling effect after applying to your hands thats a sign of alcohol content in it which makes it a pure and safe sanitizer  grinning_face ",This is not a duplicate sanitizer,5,0.224,0.026,0.75,0.9924,Positive
4,4,2020-05-14,"Don't buy., It's completely duplicate product","Don't buy, duplicate product",1,0.0,0.0,1.0,0.0,Neutral
5,5,2020-05-17,Why there is a difference in the product image and the real received. I have received the product with a different type of cap in blue color. Is it authentic?????,Product is different from the image,1,0.0,0.0,1.0,0.0,Neutral
6,6,2020-05-30,"It is definitely a must have product during current Covid-19 situation. It has proper composition balance as recommend by WHO (95% ethyl alchohol with 70% of isopropyl alcohol). Comes directly from the house of Hindustan Unilever.Delivery was prompt on time &amp; all safety measures were taken by delivery agent. Must appreciate the work Amazon &amp; other unicorn are doing to help public by delivering goods &amp; Services at doorstep during these tough times.One can use a spray bottle to sanitize other equipment used while stepping out of home without wasting it. Like helmet, glasses &amp; wallet etc.",Lifebuoy Hand Sanitizer with WHO Recommend Composition - Must have product during Covid-19,5,0.162,0.034,0.804,0.9144,Positive
7,7,2020-05-17,"The smell of the product received is totally different from the ""LIFEBUOY Sanitizer"" I used at present, which have a very pleasent smell.....Moreover the cap shown in the picture is different from what I received.... Amazon should strictly instruct the Selling Partner to deliver exactly the same product as shown in the picture otherwise this amounts to cheating/harrasment of Customer and Amazon will loose Customer Faith.",Not the same product as shown in pic,2,0.092,0.034,0.874,0.4404,Positive
8,8,2020-05-18,Please note the sanitizer bottle inside the box was not sealed and bottle was received 1/4 th empty.,Received Sanitizer Bottle 1/4th empty.,1,0.114,0.09,0.796,0.128,Positive
9,9,2020-05-18,The cap shown in the picture is not same of the item which I get.. Don't know whether it is original or not...,Buy it in local market...,1,0.099,0.0,0.901,0.3182,Positive
10,10,2020-05-19,It's a duplicate product ... Bcoz I m using this brand sanitizer from few months but this product has totally different smell and even when u use it it's make a little bit burning feeling in your hand .... I will not suggest to buy this product at all ...,It's a duplicate product,1,0.119,0.0,0.881,0.6863,Positive
11,11,2020-05-15,The smell is not same as my old lifebuoy hand sanitiser and the gel is more greasy that what I used earlier and I’m hoping it’s original and contains 70% alcohol. As it can’t be returned.,I’m hoping it’s original,3,0.206,0.0,0.794,0.8074,Positive
12,12,2020-05-21,One of best sanitizer available in the market currently..this product kills 99.9 germs and having good fragnance as well . This product is very important to prevent all the bacterial diseases. It's very easy to use as well one needs to take a drop and apply on your palm and rub over back of your hands and fingertips until dry. And now you are good to go... Happy with this product  smiling_face_with_smiling_eyes ,An essential product to prevent bacterial diseases,5,0.275,0.063,0.662,0.9513,Positive
13,13,2020-06-01,"As we know current scenario, good sanitizer is more important. Lifebuoy is one of trustworthy &amp; top leading brand. Recently I ordered for lifebouy Hand Sanitizer which we are using since I received it. I choose this coz it is 70% Alcohol. It is gel based and not to watery, very easy to use which kill germs instantly, without water &amp; last upto 10 hours. Comes in good packaging easy and convenient way to even carry.can be used anytime &amp; anywhere. Loved its fragrance it gives instant freshness. Best value for money..",Best gel based sanitizer for instant use.,5,0.29,0.041,0.669,0.9792,Positive
14,14,2020-06-28,Ordered two and both are duplicate. I have used lifebuoy sanitizer before and i know how it smells but these smell exactly like vodka. Its like they actually mixed vodka in it. It smells v.v.bad and i feel nauseated just opening the bottle cap. The original lifebuoy sanitizers have red caps but these bottle caps are blue in colour. Oh and the bottles also look old as they are scratched all over like its been used before. And there is obviously no return policy!!!! CHEATED!!! Amazon please look into this!!!!,RECEIVED DUPLICATE PRODUCTS,1,0.178,0.079,0.744,0.8597,Positive
15,15,2020-05-28,"The product is fake I have a smaller bottle of the same bought from the Apollo medical store, but there is no comparison of the two, the sanitizer bought from Amazon is just a gel with no smell no chemical... Waste of money don't buy",Duplicate sanitizer,1,0.039,0.271,0.69,-0.9022,Negative
16,16,2020-05-21,"In current situation of pandemic, sanitizer has become one of the most important things. I have tried many during this time but found Lifebuoy hand sanitizer to be one of the best. It has 70% alcohol that kills 99.99% germs and provides you with clean and germ- free hands. It is very convenient to use and can be used anytime anywhere without water. It is gel based and gentle on hands. Also, it doesn’t smell like those typical cleansers rather it has a soothing fragrance.",Highly recommended prodcut,4,0.274,0.044,0.682,0.9775,Positive
17,17,2020-05-29,Lifebuoy Sanitizer with Quick &amp; Persistent Action on Germs Keeps You Protected.This saniizer has really good quantity and worth buying for just 250. It does not irritates the skin after using.This sanitizer is really good and effective in this situation as it contains 70% alcohol which is pretty good.We can use this lifebuoy sanitizer in this crucial time.The fragrance is also not hard and very good. Mild get texture it has and can be used multiple times a day.,Very nice sanitizer,5,0.236,0.0,0.764,0.9617,Positive
18,18,2020-05-24,"This is duplicate product, i have used lifebouy sanitizer in past and that has really pleasant smell but this one which i received has foul/plastic kind of smell. Really disgusting.. also the cap is different.",Duplicate product received,1,0.067,0.0,0.933,0.3174,Positive
19,19,2020-05-21,"Lifebuoy hand sanitizer is perfumed jel sanitizer.now a days this is very necessary to protect ourselves from Corona virus.Lifebuoy hand sanitizer is with 70% alcohol it boost our immunity for a longer time.it is very easy to use first apply on your palm,spread and rub front and back of your hand,apply it on fingertips also until dry.I use because it is trusted brand,it is affordable for us .it protect us for a longer time.thanks Lifebuoy  slightly_smiling_face ",best protector sanitizer,5,0.242,0.0,0.758,0.9644,Positive
20,20,2020-06-01,Very Good product 'TOP OF THE LINE'.Was out for delivery the day 'Amphan Super Cyclone' hit Kolkata the package became wet and torn but was actually delivered way long like a week after the cyclone passed.'Amazon' shouldn't have risked to deliver on the day cyclone was supposed to hit Kolkata. Please Amazon don't risk your employees and the packages during such Natural Calamity and keep the package at secure facilities trust me everyone will appreciate it.,Damaged Package,5,0.344,0.016,0.641,0.983,Positive
21,21,2020-05-18,Got Duplicate Product.. And There Is No Return Policy.. Don't Buy.. Go For Himalaya Hand Sanitizer,Duplicate Product,1,0.165,0.113,0.722,0.25,Positive
22,22,2020-05-20,Duplicate sanitizer.There is no typical lifebuoy odour.,Fake product,1,0.0,0.268,0.732,-0.296,Negative
